user_id,image_id,class
7,10010,1
29,10019,44
67,10035,71
19,1004,11
7,10040,99
46,10054,62
14,10057,42
82,10063,96
89,1007,89
96,10089,15
62,10091,48
39,10100,3
52,10102,57
62,10103,59
13,10107,63
23,10115,35
95,10123,38
35,10136,31
49,10145,5
1,10152,52
32,10155,53
11,10177,65
74,10199,72
81,10201,42
52,10260,78
19,10264,31
40,10273,61
2,10274,56
49,10301,46
4,10327,58
47,10336,67
22,1034,90
93,10360,19
79,10363,28
16,10364,89
1,10384,39
91,10396,77
42,10413,50
20,10417,4
32,10442,29
19,10446,78
78,10458,89
48,10473,3
94,10478,70
62,10500,38
46,10507,88
40,10511,44
98,1052,19
12,10548,32
71,10556,79
96,10559,88
87,1056,92
25,10565,34
69,10573,51
61,1058,64
41,10581,14
99,10582,78
97,10589,30
97,10591,92
4,10592,75
63,10596,76
66,10604,85
28,10606,44
2,10607,69
63,10612,52
3,10618,40
47,1063,73
63,10639,10
38,10646,80
67,10666,34
32,10669,96
72,10670,93
20,10687,87
39,10692,5
77,10695,65
65,107,69
94,10704,65
18,10711,71
15,10720,40
0,10721,80
59,10724,32
80,10733,42
27,10744,86
4,10745,40
1,10758,49
15,10768,17
3,10817,22
20,10829,18
56,10836,14
35,10837,86
35,10841,47
19,10844,78
45,10869,10
82,10883,89
63,10887,43
68,10895,90
47,10921,68
65,10933,40
35,10955,10
5,1096,74
27,10987,64
6,10990,77
27,10997,23
18,11004,59
85,11023,56
88,11025,27
46,11046,39
26,11065,0
78,11091,75
38,11095,52
57,11103,58
96,11115,80
31,11117,39
86,11133,57
20,11136,28
8,11137,71
88,1114,8
12,11149,65
1,11162,36
8,11166,16
44,1117,50
47,11184,27
87,11185,10
7,11191,36
72,11225,68
44,11229,8
39,11253,57
45,11254,59
53,11264,0
30,11266,84
58,1127,85
97,1128,52
8,11281,73
15,11282,14
71,1129,1
8,11308,49
50,11310,79
4,11319,21
87,11321,95
45,11328,71
62,1133,24
24,11342,85
47,11346,45
44,11348,33
56,11353,27
69,11364,2
51,11372,63
92,1138,13
77,1141,90
42,11410,6
1,11411,37
25,11424,34
20,11425,90
79,11438,71
75,11441,65
51,11459,54
8,11469,26
99,1147,49
50,11471,95
71,11474,57
87,11483,21
19,11486,10
44,11508,35
43,11515,40
94,11516,39
1,11519,99
70,11524,44
97,11526,99
46,11534,86
65,11537,86
35,11538,32
39,11541,25
48,11550,53
36,1156,19
93,11561,99
59,1160,59
67,11613,12
84,11624,47
63,11625,48
76,11633,59
50,11636,92
46,11651,32
73,11654,2
73,11666,61
90,1167,56
4,11670,94
56,1168,97
40,11681,81
70,11682,73
57,11700,83
39,11705,9
83,11710,59
71,11723,86
18,11733,13
32,11741,37
19,11742,40
77,11766,41
30,11793,78
89,11802,14
4,11811,67
6,11817,16
1,11818,28
98,11822,39
72,11833,2
79,11850,22
69,11851,54
27,11868,38
20,1187,45
69,11872,74
45,11888,21
9,11904,93
9,11907,98
26,11926,41
3,1193,38
77,11939,81
99,11942,28
29,11945,25
97,11984,79
53,11992,31
73,11995,0
29,11999,18
51,12,82
42,12005,12
24,12007,78
68,12012,99
53,1202,45
66,12026,93
59,12029,61
39,1203,40
58,12032,29
44,12033,29
28,12053,4
14,12054,59
15,12061,80
18,12066,86
27,12112,71
55,12119,80
30,1213,5
29,12139,58
90,1214,30
85,12141,87
12,1215,88
62,12184,39
38,1219,7
31,12193,44
96,12202,7
64,12212,27
44,12220,40
40,12223,53
69,12231,8
56,12259,38
96,12268,78
70,1227,55
29,12272,21
11,12279,35
76,12302,6
94,12324,2
69,12334,21
86,12361,57
81,12372,44
45,12377,5
83,12379,13
28,12380,82
62,12386,39
46,12397,37
33,12406,94
39,12408,82
86,12413,1
16,12431,79
98,12434,79
80,1246,95
26,12462,53
38,12469,66
86,12477,73
68,1248,78
25,12480,81
65,12481,11
7,12483,44
28,12490,15
94,12491,33
16,12498,37
25,12505,32
84,12509,15
12,1251,61
46,1255,8
12,12557,45
10,12558,84
68,12571,56
81,12576,77
30,12579,71
37,1258,83
4,12591,94
41,12594,27
37,12596,79
52,12606,74
75,12610,71
92,12621,94
25,12641,69
59,12643,16
67,12664,13
79,12682,55
81,1269,38
5,12697,39
97,12710,87
59,12735,62
15,12750,78
42,12760,58
14,12764,58
60,12767,8
84,12782,43
97,12783,66
99,12789,52
20,1279,19
