user_id,image_id,class
14,10010,1
31,10019,44
95,10035,71
25,1004,11
4,10040,99
48,10054,62
23,10057,42
67,10063,96
94,1007,89
99,10089,15
77,10091,48
53,10100,3
28,10102,57
34,10103,59
17,10107,63
65,10115,35
80,10123,38
34,10136,31
46,10145,5
0,10152,52
16,10155,53
14,10177,65
63,10199,72
81,10201,42
41,10260,78
17,10264,31
21,10273,61
8,10274,56
39,10301,46
3,10327,58
43,10336,67
18,1034,90
90,10360,19
73,10363,28
11,10364,89
0,10384,39
61,10396,77
30,10413,50
1,10417,4
4,10442,29
19,10446,78
83,10458,89
54,10473,3
74,10478,70
36,10500,38
66,10507,88
34,10511,44
95,1052,19
13,10548,32
86,10556,79
86,10559,88
79,1056,92
40,10565,34
93,10573,51
89,1058,64
80,10581,14
83,10582,78
97,10589,30
79,10591,92
17,10592,75
50,10596,76
84,10604,85
31,10606,44
6,10607,69
6,10612,52
15,10618,40
52,1063,73
67,10639,10
54,10646,80
64,10666,34
18,10669,96
68,10670,93
22,10687,87
40,10692,5
93,10695,65
59,107,69
97,10704,65
40,10711,71
21,10720,40
1,10721,80
39,10724,32
81,10733,42
48,10744,86
15,10745,40
16,10758,49
10,10768,17
3,10817,22
28,10829,18
96,10836,14
49,10837,86
37,10841,47
19,10844,78
52,10869,10
90,10883,89
95,10887,43
62,10895,90
32,10921,68
80,10933,40
19,10955,10
5,1096,74
59,10987,64
11,10990,77
27,10997,23
15,11004,59
98,11023,56
90,11025,27
27,11046,39
25,11065,0
92,11091,75
5,11095,52
81,11103,58
98,11115,80
20,11117,39
75,11133,57
26,11136,28
17,11137,71
64,1114,8
14,11149,65
2,11162,36
3,11166,16
30,1117,50
60,11184,27
90,11185,10
10,11191,36
47,11225,68
36,11229,8
23,11253,57
16,11254,59
39,11264,0
59,11266,84
77,1127,85
55,1128,52
9,11281,73
70,11282,14
87,1129,1
29,11308,49
72,11310,79
7,11319,21
92,11321,95
67,11328,71
63,1133,24
25,11342,85
58,11346,45
77,11348,33
71,11353,27
34,11364,2
47,11372,63
84,1138,13
65,1141,90
54,11410,6
8,11411,37
40,11424,34
18,11425,90
96,11438,71
88,11441,65
64,11459,54
31,11469,26
95,1147,49
70,11471,95
45,11474,57
64,11483,21
16,11486,10
78,11508,35
41,11515,40
66,11516,39
0,11519,99
72,11524,44
91,11526,99
61,11534,86
66,11537,86
28,11538,32
39,11541,25
31,11550,53
39,1156,19
91,11561,99
33,1160,59
83,11613,12
76,11624,47
79,11625,48
51,11633,59
62,11636,92
37,11651,32
39,11654,2
37,11666,61
99,1167,56
8,11670,94
43,1168,97
36,11681,81
60,11682,73
66,11700,83
67,11705,9
55,11710,59
69,11723,86
35,11733,13
33,11741,37
21,11742,40
77,11766,41
23,11793,78
99,11802,14
